Order,Source,Source Level,Recipient,Recipient Level,Amount
99,Federal government,1,International/foreign affairs,3,29.35
100,Federal government,1,Public/societal benefit (minus national DAF sponsors),3,97.64
101,Federal government,1,Foundations (minus community foundation DAF sponsors),2,32.49
102,Federal government,1,Donor-advised fund sponsors (national and community foundation only),2,0
103,Federal government,1,Religious congregations,3,0
104,Federal government,1,"Unknown, unclassified",3,2.55
105,Program fees from private sources,1,"Arts, culture, humanities",3,14.7
106,Program fees from private sources,1,Education (minus colleges and universities),3,78.61
107,Program fees from private sources,1,Colleges and universities,3,194.1
108,Program fees from private sources,1,Environment and animals,3,7.3
109,Program fees from private sources,1,Health (minus hospitals and nursing homes),3,219.66
110,Program fees from private sources,1,Hospitals and nursing homes,3,1207.49
111,Program fees from private sources,1,Human Services,3,148.38
112,Program fees from private sources,1,International/foreign affairs,3,3.26
113,Program fees from private sources,1,Public/societal benefit (minus national DAF sponsors),3,34.56
114,Program fees from private sources,1,Foundations (minus community foundation DAF sponsors),2,1.03
115,Program fees from private sources,1,Donor-advised fund sponsors (national and community foundation only),2,-
116,Program fees from private sources,1,Religious congregations,3,5.86
117,Program fees from private sources,1,"Unknown, unclassified",3,8.52
118,Investment Income,3,"Arts, culture, humanities",3,1.38
119,Investment Income,3,Education (minus colleges and universities),3,6.07
120,Investment Income,3,Colleges and universities,3,9.71
121,Investment Income,3,Environment and animals,3,0.5
122,Investment Income,3,Health (minus hospitals and nursing homes),3,4.95
123,Investment Income,3,Hospitals and nursing homes,3,15.43
124,Investment Income,3,Human Services,3,3.38
125,Investment Income,3,International/foreign affairs,3,0.62
126,Investment Income,3,Public/societal benefit (minus national DAF sponsors),3,7.94
127,Investment Income,3,Foundations (minus community foundation DAF sponsors),2,16.5
128,Investment Income,3,Donor-advised fund sponsors (national and community foundation only),2,Unknown
129,Investment Income,3,Religious congregations,3,0.63
130,Investment Income,3,"Unknown, unclassified",3,0.09
